Region,State,Broadcaster,Sport,Event,Month,ViewershipCount,AvgWatchTime,Gender,AgeGroup,Likes,Dislikes,OnlineStreams,TVViewers,RevenueGenerated
Central,Madhya Pradesh,Star Sports,Tennis,India Tennis Cup,Aug,296183,111.4,Female,25-34,35518,4857,82348,213835,529430.82
Central,Chhattisgarh,Star Sports,Tennis,Chennai Open,Aug,1020834,101.7,Male,25-34,22778,2431,212505,808329,537989.56
Central,Chhattisgarh,ESPN India,Badminton,Asia Championships,Nov,1802390,73.7,Male,25-34,14947,4828,565224,1237166,1662311.49
North,Haryana,Jio Sports,Badminton,India Open,Jul,888574,37.9,Male,45+,35228,2823,324372,564202,572954.03
North,Delhi,ESPN India,Football,Santosh Trophy,Jul,885869,74.6,Female,25-34,48192,1862,430677,455192,743711.16
West,Maharashtra,ESPN India,Cricket,IPL,Dec,1191069,20.1,Female,35-44,9259,1087,329977,861092,2118192.12
West,Gujarat,Jio Sports,Cricket,World Cup,Oct,1442488,50.7,Male,15-24,6374,4890,578262,864226,1870870.56
North,Haryana,Star Sports,Cricket,Ranji Trophy,Jul,1173389,18.6,Female,35-44,1778,4689,306990,866399,2092791.08
South,Kerala,ESPN India,Kabaddi,Pro Kabaddi League,Apr,1981006,41.5,Male,35-44,45900,2086,598963,1382043,2441712.61
East,Odisha,ESPN India,Football,Santosh Trophy,Mar,1171268,110.5,Female,35-44,47403,1158,552655,618613,2042609.64
East,Bihar,Jio Sports,Kabaddi,Pro Kabaddi League,Apr,362023,17.6,Female,15-24,34110,1547,77203,284820,353124.43
South,Andhra Pradesh,DD Sports,Kabaddi,Pro Kabaddi League,Sep,160155,29.4,Male,35-44,46714,2173,57764,102391,119673.74
West,Rajasthan,Star Sports,Hockey,Hockey India League,Aug,787685,81.3,Male,45+,31483,4700,250384,537301,1224023.63
North,Delhi,Star Sports,Kabaddi,Pro Kabaddi League,Nov,603091,28.8,Female,25-34,34539,678,179162,423929,891571.37
South,Karnataka,Jio Sports,Football,Santosh Trophy,Feb,1491985,64.7,Female,15-24,43752,1210,624440,867545,1656786.48
North,Delhi,Jio Sports,Cricket,IPL,May,1625125,53.0,Male,15-24,22259,4457,688538,936587,923839.88
West,Goa,DD Sports,Cricket,World Cup,Jun,1663447,64.3,Male,45+,46496,2240,712526,950921,2011867.65
Central,Chhattisgarh,Sony Sports,Hockey,Hockey India League,Jul,1980082,79.1,Male,35-44,31519,4896,873555,1106527,1006393.9
North,Uttar Pradesh,Sony Sports,Tennis,India Tennis Cup,May,1509501,102.5,Male,25-34,30075,4797,732336,777165,1802763.73
East,Odisha,Star Sports,Badminton,India Open,Mar,315972,68.8,Female,45+,6482,2529,103761,212211,289661.99
Central,Madhya Pradesh,DD Sports,Badminton,India Open,Feb,1235111,79.8,Female,15-24,34623,1912,585285,649826,1257138.85
North,Punjab,Star Sports,Badminton,Asia Championships,Dec,426742,18.1,Male,25-34,23207,1617,139787,286955,848885.97
North,Haryana,Star Sports,Kabaddi,Pro Kabaddi League,Nov,657564,32.3,Male,15-24,45199,3791,145435,512129,1048676.8
South,Kerala,Jio Sports,Hockey,Hockey India League,Jan,1865111,90.0,Male,45+,45299,3411,424717,1440394,1762700.48
North,Delhi,Star Sports,Badminton,Asia Championships,Mar,769449,101.2,Female,45+,38383,273,164264,605185,443743.6
Central,Chhattisgarh,Jio Sports,Kabaddi,Pro Kabaddi League,Jul,1265468,19.3,Female,45+,2875,4133,317790,947678,1895592.8
Central,Madhya Pradesh,Sony Sports,Hockey,Hockey India League,Nov,315888,53.8,Male,15-24,33402,1874,114709,201179,356454.87
East,West Bengal,Sony Sports,Cricket,IPL,Mar,915363,57.4,Male,45+,25306,2802,210446,704917,1487259.97
Central,Madhya Pradesh,Star Sports,Kabaddi,Pro Kabaddi League,Sep,383569,86.3,Female,35-44,35610,1966,114852,268717,536244.27
East,Assam,Star Sports,Tennis,Chennai Open,May,911069,110.9,Female,25-34,41312,870,281677,629392,1444918.61
North,Delhi,DD Sports,Tennis,Chennai Open,Feb,1945066,70.6,Female,25-34,34154,3521,540156,1404910,1387232.13
North,Haryana,Jio Sports,Tennis,India Tennis Cup,Nov,299768,46.0,Male,15-24,35624,2098,111931,187837,169551.36
West,Maharashtra,Star Sports,Kabaddi,Pro Kabaddi League,Apr,1959972,37.7,Male,25-34,40832,1531,504876,1455096,2897696.05
South,Tamil Nadu,ESPN India,Cricket,IPL,Feb,1722987,104.4,Male,45+,36426,3600,661252,1061735,1573210.77
Central,Chhattisgarh,Star Sports,Tennis,Chennai Open,May,742148,77.0,Female,25-34,29011,1989,179212,562936,798818.0
South,Andhra Pradesh,Sony Sports,Football,Santosh Trophy,Oct,1838098,111.2,Male,35-44,4134,2170,446164,1391934,1798211.69
South,Andhra Pradesh,DD Sports,Football,Santosh Trophy,Feb,769407,53.9,Female,25-34,2141,1735,381863,387544,838239.18
South,Andhra Pradesh,DD Sports,Football,Santosh Trophy,Dec,1862375,32.5,Female,15-24,12172,106,721921,1140454,1329533.15
West,Maharashtra,ESPN India,Badminton,India Open,Feb,1976711,114.4,Male,35-44,6906,3373,536535,1440176,2903261.82
West,Maharashtra,Jio Sports,Badminton,Asia Championships,Apr,838443,55.5,Female,25-34,12738,4321,417534,420909,1168775.51
North,Uttar Pradesh,Star Sports,Cricket,Ranji Trophy,Feb,847552,78.6,Male,15-24,1929,3859,251608,595944,700788.91
South,Tamil Nadu,DD Sports,Tennis,Chennai Open,May,1093659,26.1,Female,15-24,6744,2000,363198,730461,2141425.75
Central,Chhattisgarh,Star Sports,Kabaddi,Pro Kabaddi League,Jul,878791,70.9,Male,35-44,5652,1278,181703,697088,714717.3
South,Tamil Nadu,Star Sports,Badminton,Asia Championships,Apr,1529018,31.8,Female,35-44,27417,2409,586538,942480,2498905.34
North,Delhi,Star Sports,Football,Santosh Trophy,Feb,165598,28.7,Male,25-34,3169,2272,58563,107035,174804.5
West,Goa,Sony Sports,Badminton,Asia Championships,Dec,1303499,108.3,Male,25-34,31403,885,528973,774526,2268167.83
South,Andhra Pradesh,ESPN India,Hockey,Hockey India League,Dec,593088,78.7,Female,45+,15973,2036,280851,312237,639507.73
East,Odisha,Star Sports,Kabaddi,Pro Kabaddi League,Feb,286527,117.9,Female,15-24,16848,2452,76772,209755,372022.73
Central,Chhattisgarh,DD Sports,Cricket,World Cup,May,1631420,102.5,Female,25-34,47633,1477,442816,1188604,1450336.21
Central,Madhya Pradesh,Sony Sports,Football,ISL,Sep,1286530,68.3,Male,45+,17766,1656,574885,711645,2508252.44
South,Andhra Pradesh,Sony Sports,Badminton,India Open,Nov,443574,32.4,Male,45+,31654,1403,149286,294288,886957.58
Central,Chhattisgarh,Star Sports,Kabaddi,Pro Kabaddi League,Oct,612060,66.3,Male,35-44,40420,3270,191043,421017,1114238.18
East,Assam,DD Sports,Badminton,India Open,Oct,1592247,98.2,Female,25-34,20218,4360,640487,951760,2541587.72
South,Karnataka,DD Sports,Hockey,Hockey India League,Apr,200023,64.9,Male,35-44,44171,2009,97644,102379,168344.28
North,Haryana,Star Sports,Football,Santosh Trophy,Jul,744335,77.9,Male,45+,27421,1808,239748,504587,884046.41
Central,Madhya Pradesh,Star Sports,Hockey,Hockey India League,Dec,1698885,98.0,Female,15-24,17859,1076,782854,916031,2584231.46
North,Uttar Pradesh,Sony Sports,Tennis,India Tennis Cup,Oct,640381,116.8,Female,15-24,1882,2294,313570,326811,812869.94
West,Gujarat,Sony Sports,Tennis,Chennai Open,Nov,1813947,105.7,Female,15-24,8166,4890,643911,1170036,1928216.34
West,Maharashtra,Sony Sports,Football,Santosh Trophy,Feb,647093,74.1,Female,35-44,3454,4594,222126,424967,911516.52
South,Kerala,ESPN India,Hockey,Hockey India League,Aug,1242639,75.6,Female,25-34,31386,3902,437785,804854,1381039.55
North,Haryana,Sony Sports,Kabaddi,Pro Kabaddi League,Jun,1641218,77.1,Male,15-24,42862,464,524148,1117070,1993628.66
South,Kerala,Sony Sports,Badminton,India Open,May,175438,104.7,Male,15-24,9016,2484,81969,93469,310604.78
North,Punjab,Jio Sports,Cricket,Ranji Trophy,Apr,152239,47.7,Female,15-24,22826,2590,65141,87098,83150.67
East,Assam,Sony Sports,Badminton,India Open,Jan,1517310,112.3,Male,25-34,34905,2627,473435,1043875,2873612.31
East,Odisha,Jio Sports,Kabaddi,Pro Kabaddi League,Feb,1235493,87.7,Female,45+,23313,2467,349877,885616,1172598.23
North,Delhi,ESPN India,Cricket,World Cup,Sep,1411871,50.0,Male,45+,16906,795,358701,1053170,1825361.66
North,Uttar Pradesh,ESPN India,Tennis,Chennai Open,Jan,1876525,119.8,Male,15-24,11503,2941,933273,943252,3270227.53
South,Karnataka,Sony Sports,Football,Santosh Trophy,Nov,848022,19.6,Female,45+,4363,124,423422,424600,1229088.74
Central,Madhya Pradesh,ESPN India,Tennis,India Tennis Cup,Apr,831198,94.1,Male,25-34,9068,2335,379978,451220,1236665.34
Central,Madhya Pradesh,Sony Sports,Cricket,Ranji Trophy,Jan,61390,88.5,Female,25-34,16038,3275,14407,46983,67446.14
East,Assam,Jio Sports,Tennis,Chennai Open,Jul,71281,57.8,Male,35-44,9605,2114,33981,37300,42698.37
East,Bihar,Jio Sports,Hockey,Hockey India League,Apr,856242,81.4,Female,15-24,45716,2115,287065,569177,521001.61
Central,Chhattisgarh,DD Sports,Cricket,IPL,Feb,209292,106.2,Male,35-44,6185,2522,98309,110983,369005.16
West,Maharashtra,ESPN India,Badminton,Asia Championships,Feb,237771,20.3,Female,35-44,46505,1597,68449,169322,262572.87
West,Gujarat,Jio Sports,Hockey,Hockey India League,Mar,1633214,105.7,Male,45+,3951,1338,713170,920044,3093049.4
East,Assam,Jio Sports,Football,ISL,Jul,1413837,17.3,Female,35-44,24782,1688,594024,819813,2493083.99
East,West Bengal,Sony Sports,Football,Santosh Trophy,Jul,704224,117.8,Male,45+,35324,3958,216801,487423,1036424.89
West,Maharashtra,Star Sports,Badminton,Asia Championships,Jan,1605157,90.6,Female,35-44,24071,1689,712124,893033,975395.66
South,Karnataka,Jio Sports,Tennis,Chennai Open,May,50159,63.6,Male,25-34,17237,1111,17161,32998,47891.37
South,Tamil Nadu,Star Sports,Tennis,India Tennis Cup,Apr,1851038,69.6,Male,15-24,34996,1135,618709,1232329,2304622.15
South,Andhra Pradesh,Sony Sports,Hockey,Hockey India League,Feb,455453,101.5,Male,45+,49766,1364,107215,348238,576919.45
Central,Madhya Pradesh,Sony Sports,Football,Santosh Trophy,Jul,887393,89.2,Female,45+,28990,917,370176,517217,1065272.7
North,Uttar Pradesh,DD Sports,Hockey,Hockey India League,Jan,216277,92.8,Female,25-34,6276,767,92124,124153,141193.97
North,Punjab,Jio Sports,Football,Santosh Trophy,Jul,1641872,74.3,Male,45+,6793,4623,756938,884934,2229192.18
West,Maharashtra,Jio Sports,Hockey,Hockey India League,Sep,1212126,59.4,Female,15-24,42157,2771,263159,948967,2308471.82
Central,Madhya Pradesh,Jio Sports,Hockey,Hockey India League,Oct,1490434,87.1,Female,35-44,40129,2048,705293,785141,1611864.44
West,Goa,ESPN India,Hockey,Hockey India League,Jun,1714986,86.0,Female,35-44,7318,4218,423131,1291855,1511497.9
East,Odisha,Star Sports,Badminton,India Open,Nov,148538,116.4,Male,45+,25427,622,44574,103964,286107.81
West,Goa,Jio Sports,Cricket,Ranji Trophy,Jun,1733886,43.2,Male,15-24,17211,1416,375916,1357970,992266.58
West,Gujarat,Jio Sports,Badminton,India Open,Feb,853940,55.4,Female,35-44,26599,1478,299246,554694,1013242.0
East,Assam,Jio Sports,Tennis,Chennai Open,Nov,1710561,95.9,Male,15-24,10083,4172,529715,1180846,1332586.03
North,Uttar Pradesh,Star Sports,Cricket,IPL,Sep,1388084,104.3,Female,25-34,16887,4844,351666,1036418,2062734.78
West,Maharashtra,ESPN India,Football,ISL,Jan,538906,83.0,Female,15-24,28747,2768,151353,387553,878974.31
South,Tamil Nadu,DD Sports,Badminton,India Open,Jul,1313340,29.3,Female,15-24,31499,1039,540321,773019,1435081.84
West,Gujarat,Jio Sports,Hockey,Hockey India League,Apr,1408311,75.8,Male,35-44,45283,334,506364,901947,1481091.08
North,Punjab,DD Sports,Hockey,Hockey India League,Jul,338816,69.2,Male,15-24,3100,3757,158074,180742,176875.53
West,Maharashtra,Star Sports,Cricket,IPL,Aug,856564,103.0,Female,45+,9016,4593,194166,662398,959749.14
North,Haryana,Star Sports,Tennis,Chennai Open,May,860904,49.7,Female,35-44,37021,4736,240313,620591,1029764.07
West,Goa,Star Sports,Hockey,Hockey India League,Apr,566835,56.8,Male,25-34,45864,4023,276334,290501,670213.42
South,Andhra Pradesh,Sony Sports,Cricket,Ranji Trophy,Aug,749151,69.7,Male,45+,3745,3966,200866,548285,1021117.61
South,Tamil Nadu,Sony Sports,Hockey,Hockey India League,Jan,965113,99.8,Female,45+,31116,3562,259570,705543,507966.52
South,Tamil Nadu,Jio Sports,Kabaddi,Pro Kabaddi League,Oct,1509700,92.6,Female,15-24,21093,819,600044,909656,1433763.28
North,Delhi,ESPN India,Kabaddi,Pro Kabaddi League,Jul,231196,103.9,Male,45+,21936,2307,48030,183166,427213.43
South,Kerala,Jio Sports,Hockey,Hockey India League,May,864038,63.1,Female,45+,45245,743,229737,634301,1597764.22
West,Goa,Jio Sports,Tennis,India Tennis Cup,Feb,799468,40.9,Male,45+,32131,3376,344994,454474,1296070.83
East,West Bengal,Jio Sports,Football,Santosh Trophy,Apr,810278,76.1,Female,35-44,22607,492,241874,568404,695816.64
East,West Bengal,DD Sports,Badminton,Asia Championships,Nov,552367,82.7,Male,35-44,17616,1652,168314,384053,462923.26
Central,Madhya Pradesh,ESPN India,Badminton,Asia Championships,Jul,188731,109.1,Female,45+,49152,560,59277,129454,323991.8
South,Tamil Nadu,Jio Sports,Kabaddi,Pro Kabaddi League,Mar,962743,32.2,Female,45+,9682,1172,219577,743166,1849518.72
South,Andhra Pradesh,Star Sports,Hockey,Hockey India League,May,1879989,64.3,Female,45+,19990,258,776151,1103838,2935757.03
Central,Chhattisgarh,Sony Sports,Kabaddi,Pro Kabaddi League,Apr,872513,112.7,Female,25-34,6939,2395,255622,616891,611991.33
North,Haryana,DD Sports,Hockey,Hockey India League,Jan,1830657,94.9,Female,25-34,20167,3744,749517,1081140,3521464.24
West,Rajasthan,Jio Sports,Hockey,Hockey India League,Oct,1751421,43.8,Male,45+,20029,2449,835653,915768,2012775.05
North,Uttar Pradesh,Jio Sports,Tennis,Chennai Open,Dec,1952301,105.7,Male,15-24,44527,3599,647652,1304649,3604947.24
Central,Chhattisgarh,DD Sports,Hockey,Hockey India League,Nov,189883,118.0,Male,45+,27956,1646,46884,142999,206552.34
Central,Madhya Pradesh,Sony Sports,Badminton,Asia Championships,Jan,1863995,35.7,Male,35-44,26851,2843,394817,1469178,2921969.13
Central,Chhattisgarh,ESPN India,Football,Santosh Trophy,May,851881,38.0,Male,45+,42316,969,292399,559482,1221184.1
West,Gujarat,DD Sports,Hockey,Hockey India League,Oct,998377,102.1,Female,25-34,26372,3742,494939,503438,1030885.74
West,Maharashtra,Jio Sports,Tennis,India Tennis Cup,Dec,346208,69.8,Male,25-34,6366,619,73383,272825,257061.92
South,Andhra Pradesh,Sony Sports,Kabaddi,Pro Kabaddi League,Mar,1499991,47.5,Female,45+,24360,4382,402108,1097883,2910360.05
South,Tamil Nadu,DD Sports,Football,ISL,Nov,1748545,67.4,Female,25-34,13424,2568,469506,1279039,897978.75
Central,Madhya Pradesh,DD Sports,Kabaddi,Pro Kabaddi League,Dec,461236,73.0,Male,25-34,20710,2318,178455,282781,262482.54
North,Haryana,Star Sports,Tennis,Chennai Open,Apr,1686091,69.0,Female,25-34,10135,2937,753065,933026,1927291.43
East,West Bengal,ESPN India,Cricket,World Cup,Feb,1601224,108.9,Female,25-34,2196,4205,607138,994086,2965586.37
Central,Chhattisgarh,Sony Sports,Badminton,Asia Championships,Aug,1663559,115.3,Male,35-44,3176,3843,337660,1325899,2111190.07
East,West Bengal,Star Sports,Badminton,India Open,Sep,496790,56.2,Female,15-24,34396,1729,192995,303795,932792.6
North,Punjab,ESPN India,Kabaddi,Pro Kabaddi League,Feb,1102272,43.9,Female,15-24,46740,215,404193,698079,1189885.82
Central,Chhattisgarh,DD Sports,Tennis,Chennai Open,Oct,525828,83.9,Male,15-24,16417,253,206349,319479,987167.73
West,Goa,ESPN India,Tennis,India Tennis Cup,Sep,1085891,103.2,Female,25-34,10256,4300,533981,551910,915451.3
South,Kerala,DD Sports,Tennis,India Tennis Cup,Aug,1189904,106.0,Male,35-44,35540,2060,532403,657501,2291384.75
West,Gujarat,Sony Sports,Football,Santosh Trophy,Jan,390676,74.1,Female,15-24,23626,2735,111051,279625,639991.51
South,Karnataka,Jio Sports,Tennis,Chennai Open,Nov,1207522,60.2,Male,25-34,43998,4747,551664,655858,1329980.0
South,Andhra Pradesh,Sony Sports,Football,Santosh Trophy,Apr,1824029,65.0,Male,15-24,48857,2775,484992,1339037,1471428.38
West,Maharashtra,Star Sports,Hockey,Hockey India League,Sep,1880791,49.8,Male,35-44,17998,3071,835371,1045420,2734789.93
North,Uttar Pradesh,Jio Sports,Hockey,Hockey India League,Jun,464170,113.8,Male,15-24,36236,1490,222476,241694,796663.27
East,Odisha,Jio Sports,Tennis,Chennai Open,Oct,1667959,91.3,Female,35-44,48068,3707,810141,857818,1716169.53
East,West Bengal,Star Sports,Kabaddi,Pro Kabaddi League,Mar,397139,107.0,Female,45+,7614,3352,180509,216630,366840.73
East,West Bengal,ESPN India,Hockey,Hockey India League,Oct,1868902,56.1,Female,45+,38044,4876,412462,1456440,934483.62
Central,Chhattisgarh,DD Sports,Hockey,Hockey India League,Aug,315976,53.0,Male,35-44,43633,2827,152175,163801,265163.27
South,Karnataka,Sony Sports,Hockey,Hockey India League,Dec,1445796,39.2,Female,15-24,39578,441,591067,854729,2304623.68
South,Tamil Nadu,Sony Sports,Football,Santosh Trophy,Oct,258859,91.8,Female,25-34,46475,2898,105350,153509,290935.73
North,Uttar Pradesh,Sony Sports,Football,ISL,Feb,1252060,46.8,Female,45+,36517,1235,467283,784777,2160015.35
East,Bihar,DD Sports,Hockey,Hockey India League,May,1581064,109.7,Female,35-44,31581,3911,614588,966476,3126218.25
West,Goa,DD Sports,Tennis,India Tennis Cup,Nov,1518919,72.0,Female,25-34,19375,371,412015,1106904,938211.55
South,Karnataka,Jio Sports,Hockey,Hockey India League,Jun,322158,17.2,Male,45+,31881,4449,88224,233934,443179.61
South,Andhra Pradesh,ESPN India,Hockey,Hockey India League,Jun,365018,65.6,Male,15-24,3832,4007,113693,251325,702226.35
East,Assam,Sony Sports,Kabaddi,Pro Kabaddi League,May,1439678,94.7,Male,25-34,32845,2900,411277,1028401,1829516.45
Central,Chhattisgarh,Sony Sports,Cricket,Ranji Trophy,Apr,485928,117.1,Male,25-34,30566,4299,217878,268050,374307.24
East,Odisha,Jio Sports,Badminton,India Open,Jul,438518,111.7,Male,45+,1406,266,158518,280000,778679.67
West,Maharashtra,ESPN India,Football,Santosh Trophy,Feb,1621128,99.7,Female,45+,19908,2220,677273,943855,1650329.26
South,Tamil Nadu,Star Sports,Kabaddi,Pro Kabaddi League,Jan,742485,31.5,Male,35-44,37176,660,223085,519400,1180985.61
West,Gujarat,Star Sports,Badminton,Asia Championships,Mar,312318,72.7,Male,25-34,13112,1597,115372,196946,232537.31
West,Goa,ESPN India,Football,ISL,Jun,362863,110.2,Male,45+,42328,142,139278,223585,638093.13
East,Assam,ESPN India,Tennis,Chennai Open,Jun,855351,79.7,Female,15-24,5769,4896,223021,632330,552788.96
South,Karnataka,Star Sports,Football,ISL,Sep,1711655,100.8,Male,25-34,18376,2486,493879,1217776,1958807.57
East,Odisha,Star Sports,Kabaddi,Pro Kabaddi League,Sep,1083668,105.6,Male,25-34,46580,1955,308265,775403,1703110.13
East,Odisha,Jio Sports,Football,Santosh Trophy,Dec,1418722,28.8,Female,15-24,2481,3831,540582,878140,2150397.54
North,Delhi,Star Sports,Kabaddi,Pro Kabaddi League,Aug,175355,106.5,Female,25-34,18266,4508,72420,102935,297230.6
Central,Madhya Pradesh,Sony Sports,Hockey,Hockey India League,Sep,1609757,75.0,Male,15-24,25335,3162,503110,1106647,2992748.48
West,Maharashtra,Jio Sports,Badminton,Asia Championships,Mar,1931297,32.1,Female,35-44,41928,212,822244,1109053,1022995.44
West,Goa,Sony Sports,Kabaddi,Pro Kabaddi League,Sep,295300,52.1,Male,15-24,2424,3049,120473,174827,295617.43
East,Odisha,Star Sports,Kabaddi,Pro Kabaddi League,Sep,1240456,78.6,Female,15-24,1887,3204,293498,946958,1151933.94
Central,Chhattisgarh,Star Sports,Kabaddi,Pro Kabaddi League,Oct,692927,86.1,Male,45+,27049,4161,277144,415783,735113.48
Central,Madhya Pradesh,Sony Sports,Kabaddi,Pro Kabaddi League,Jul,533779,97.4,Female,25-34,16950,4410,109631,424148,426216.24
West,Rajasthan,Jio Sports,Tennis,Chennai Open,Dec,1618146,78.1,Male,35-44,23931,2861,427870,1190276,3029325.74
South,Andhra Pradesh,Jio Sports,Cricket,IPL,Aug,1124567,69.5,Male,35-44,11561,617,539511,585056,1486314.39
North,Punjab,Star Sports,Hockey,Hockey India League,Aug,1947883,92.5,Male,15-24,45505,4620,738092,1209791,1571280.98
East,West Bengal,Sony Sports,Badminton,India Open,Jun,793088,42.7,Female,35-44,46833,307,301942,491146,1146845.46
East,Assam,Star Sports,Football,ISL,May,1294951,116.7,Female,35-44,33182,3466,392336,902615,981787.7
North,Punjab,Sony Sports,Cricket,World Cup,Oct,1034558,46.2,Female,25-34,47005,2295,221989,812569,1446898.55
South,Andhra Pradesh,ESPN India,Hockey,Hockey India League,May,538019,73.1,Male,35-44,20233,1842,254145,283874,723899.16
West,Rajasthan,Star Sports,Badminton,India Open,Jun,62360,79.1,Male,25-34,46800,4295,17961,44399,54520.51
North,Haryana,Star Sports,Cricket,Ranji Trophy,Jul,330833,114.4,Female,25-34,43137,4857,79457,251376,631423.11
East,Assam,Star Sports,Hockey,Hockey India League,May,1486564,76.7,Female,35-44,19845,4220,652915,833649,855864.57
West,Rajasthan,Jio Sports,Badminton,Asia Championships,Dec,243984,76.2,Female,15-24,18200,182,120866,123118,472443.67
West,Maharashtra,ESPN India,Football,Santosh Trophy,Mar,520435,79.8,Male,25-34,25351,275,146910,373525,779347.13
South,Karnataka,Sony Sports,Tennis,Chennai Open,Nov,132289,49.3,Male,25-34,8674,1464,36665,95624,247621.59
Central,Chhattisgarh,DD Sports,Hockey,Hockey India League,Nov,1884907,100.8,Female,35-44,3426,172,455402,1429505,2181925.88
West,Rajasthan,Star Sports,Tennis,India Tennis Cup,Jul,773858,79.4,Female,15-24,36192,1164,250083,523775,667865.08
South,Andhra Pradesh,Jio Sports,Cricket,IPL,Dec,846883,83.7,Female,35-44,44764,250,371606,475277,486981.32
North,Punjab,Sony Sports,Hockey,Hockey India League,Jan,1718531,41.1,Male,45+,23520,4264,852179,866352,1058130.05
West,Rajasthan,DD Sports,Kabaddi,Pro Kabaddi League,Jul,202353,63.2,Male,25-34,28586,4001,97381,104972,285337.48
East,Assam,DD Sports,Tennis,India Tennis Cup,Jul,136346,54.1,Female,25-34,27249,1461,43844,92502,232829.27
West,Maharashtra,Jio Sports,Tennis,India Tennis Cup,Jan,1037410,44.7,Female,35-44,48607,3857,365117,672293,1137180.04
Central,Chhattisgarh,DD Sports,Hockey,Hockey India League,Dec,1885877,92.5,Female,45+,45781,790,522644,1363233,3123226.92
Central,Madhya Pradesh,DD Sports,Hockey,Hockey India League,Jan,1121824,76.4,Male,35-44,9024,394,251031,870793,1013321.49
East,West Bengal,Jio Sports,Hockey,Hockey India League,Apr,1273451,105.3,Female,25-34,19257,4763,287065,986386,2140747.56
South,Kerala,Jio Sports,Football,Santosh Trophy,Feb,937553,41.1,Female,45+,6307,841,291510,646043,1070124.87
East,Bihar,ESPN India,Football,Santosh Trophy,Feb,748787,30.2,Male,45+,26934,162,254208,494579,702792.51
South,Andhra Pradesh,ESPN India,Kabaddi,Pro Kabaddi League,Apr,358362,36.1,Male,15-24,32957,4451,114800,243562,398301.19
West,Rajasthan,DD Sports,Badminton,Asia Championships,Dec,1283770,112.3,Male,45+,4278,922,452749,831021,2014800.0
Central,Chhattisgarh,Jio Sports,Badminton,Asia Championships,Feb,1175285,42.3,Male,35-44,32781,1024,356638,818647,711914.69
South,Karnataka,DD Sports,Hockey,Hockey India League,Feb,478745,93.4,Female,15-24,36436,902,104003,374742,818063.56
West,Rajasthan,Star Sports,Hockey,Hockey India League,Aug,702416,41.2,Female,45+,27935,4941,285925,416491,915480.35
South,Andhra Pradesh,Star Sports,Badminton,Asia Championships,Sep,1942628,23.0,Male,35-44,4927,2691,538576,1404052,3329638.36
South,Tamil Nadu,Sony Sports,Badminton,Asia Championships,Sep,1016020,52.2,Female,25-34,16721,4509,408417,607603,1942306.35
East,Assam,ESPN India,Cricket,World Cup,Jul,1522608,109.9,Male,25-34,18413,2256,615770,906838,1910414.29
Central,Madhya Pradesh,DD Sports,Cricket,Ranji Trophy,Jul,116197,98.4,Male,35-44,33854,2612,39917,76280,118192.35
Central,Chhattisgarh,Star Sports,Tennis,India Tennis Cup,Apr,1843999,61.1,Female,35-44,47364,3410,508010,1335989,2785301.71
South,Andhra Pradesh,Jio Sports,Kabaddi,Pro Kabaddi League,Feb,282076,55.4,Female,35-44,6520,3418,79947,202129,141880.9
Central,Madhya Pradesh,Star Sports,Tennis,India Tennis Cup,Nov,697652,69.1,Male,35-44,5757,4953,195538,502114,436263.78
North,Haryana,Star Sports,Cricket,IPL,Dec,419360,91.9,Female,45+,42458,4829,157571,261789,432530.84
East,Odisha,DD Sports,Kabaddi,Pro Kabaddi League,Dec,1617739,27.4,Female,25-34,47313,3711,526343,1091396,1563550.8
North,Punjab,Sony Sports,Badminton,India Open,Jun,1884662,56.1,Female,25-34,48221,4082,909690,974972,3060852.56
North,Uttar Pradesh,Sony Sports,Hockey,Hockey India League,Dec,629223,73.5,Male,25-34,16534,3460,198275,430948,719463.96
South,Karnataka,DD Sports,Tennis,India Tennis Cup,Nov,1672034,58.2,Female,35-44,38865,548,495435,1176599,1346824.57
Central,Chhattisgarh,ESPN India,Football,Santosh Trophy,Dec,1783985,106.4,Female,35-44,44937,4288,671515,1112470,2316961.4
West,Gujarat,Sony Sports,Badminton,India Open,Nov,738332,67.0,Female,35-44,28964,3072,214864,523468,855463.46
North,Haryana,Jio Sports,Hockey,Hockey India League,Nov,819305,27.0,Female,25-34,16810,916,283738,535567,1578934.32
South,Karnataka,Jio Sports,Kabaddi,Pro Kabaddi League,Jul,574480,98.2,Female,35-44,33130,3800,284117,290363,478456.07
East,Odisha,Jio Sports,Kabaddi,Pro Kabaddi League,Jul,1277545,16.0,Male,45+,40579,1196,541703,735842,1665260.62
West,Goa,Sony Sports,Hockey,Hockey India League,Nov,823952,106.8,Female,15-24,28048,2646,297022,526930,569416.44
West,Maharashtra,ESPN India,Cricket,World Cup,Sep,1564101,62.4,Male,45+,5434,758,410628,1153473,2787949.08
East,Assam,DD Sports,Hockey,Hockey India League,Oct,1062140,16.4,Female,45+,44949,4737,376738,685402,1563110.39
Central,Madhya Pradesh,DD Sports,Tennis,India Tennis Cup,Sep,1646049,36.4,Male,15-24,12999,3819,377716,1268333,2989267.25
West,Rajasthan,ESPN India,Kabaddi,Pro Kabaddi League,Aug,1101339,93.0,Male,25-34,26307,2972,490628,610711,2172458.37
North,Punjab,Star Sports,Badminton,India Open,Aug,1266593,99.4,Female,25-34,3382,631,490627,775966,2527832.78
